time_min,L1,L2,L3,L4,L5,L6,L7,L8
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0
10,1.0,0.8,1.0,1.0,0.4,1.0,1.0,0.8
15,0.8,0.4,0.8,0.8,0.4,0.8,1.0,0.4
20,0.4,0.4,0.8,0.8,0.1,0.8,0.8,0.4
25,0.4,0.4,0.8,0.4,0.1,0.8,0.8,0.4
30,0.4,0.4,0.8,0.4,0.1,0.4,0.8,0.4
35,0.4,0.1,0.4,0.4,0.0,0.4,0.8,0.4
40,0.4,0.1,0.4,0.4,0.0,0.4,0.8,0.1
45,0.4,0.1,0.4,0.4,0.0,0.4,0.8,0.1
50,0.4,0.1,0.4,0.4,0.0,0.4,0.8,0.1
55,0.4,0.1,0.4,0.4,0.0,0.4,0.8,0.1
60,0.4,0.1,0.4,0.4,0.1,0.4,0.8,0.4
