time_min,L1,L2,L3,L4,L5,L6,L7,L8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.8362,1.0142,0.5376,0.5893,1.7449,0.6783,0.1152,1.0778
10,2.4966,3.1673,1.6084,2.0961,4.7327,2.0267,0.8822,3.0653
15,5.3898,7.0302,3.4742,4.9844,9.5803,4.3776,2.6336,6.4189
20,9.1048,12.033,5.8702,8.7935,15.6678,7.397,5.0413,10.6832
25,12.4086,16.4657,8.0014,12.1421,21.1351,10.0824,7.1212,14.4921
30,14.8904,19.7584,9.6028,14.5696,25.3622,12.0995,8.5451,17.3902
35,16.55,21.9111,10.6744,16.076,28.3493,13.4485,9.313,19.3775
40,17.3876,22.9239,11.2161,16.6615,30.0963,14.1292,9.4249,20.4541
45,17.3959,22.7967,11.2139,16.326,30.6032,14.1348,8.8807,20.6199
50,17.4041,22.6695,11.2118,15.9905,31.11,14.1404,8.3366,20.7857
55,17.0086,21.9724,10.9586,15.1945,30.9968,13.8186,7.4644,20.4962
60,16.613,21.2753,10.7054,14.3986,30.8835,13.4968,6.5923,20.2067
