time_min,L1,L2,L3,L4,L5,L6,L7,L8
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
10,1.0,0.9,1.0,1.0,0.6,1.0,1.0,0.9
15,0.9,0.6,0.9,0.9,0.6,0.9,1.0,0.6
20,0.6,0.6,0.9,0.9,0.2,0.9,0.9,0.6
25,0.6,0.6,0.9,0.6,0.2,0.9,0.9,0.6
30,0.6,0.6,0.9,0.6,0.2,0.6,0.9,0.6
35,0.6,0.2,0.6,0.6,0.0,0.6,0.9,0.6
40,0.6,0.2,0.6,0.6,0.0,0.6,0.9,0.2
45,0.6,0.2,0.6,0.6,0.0,0.6,0.9,0.2
50,0.6,0.2,0.6,0.6,0.0,0.6,0.9,0.2
55,0.6,0.2,0.6,0.6,0.0,0.6,0.9,0.2
60,0.6,0.2,0.6,0.6,0.2,0.6,0.9,0.6
