scheme_id,x1_pipe_m,x2_storage_count,x3_pavement_m2,x4_warning_count,TotalCost_wan,AnnualCost_wan_per_year,R_new,Delta_R,T_rec_min,T_rec_reduction_min,recovery_factor,avg_key_max_depth_reduction_rate,avg_interruption_duration_reduction_min,depth_factor,capacity_gain,evac_30_effective_departure_min,evac_30_dynamic_path,evac_30_dynamic_time_min,evac_30_dynamic_min_safety,evac_30_dynamic_feasible,evac_30_static_path,evac_30_static_time_min,evac_30_static_min_safety,evac_30_static_feasible,evac_45_effective_departure_min,evac_45_dynamic_path,evac_45_dynamic_time_min,evac_45_dynamic_min_safety,evac_45_dynamic_feasible,evac_45_static_path,evac_45_static_time_min,evac_45_static_min_safety,evac_45_static_feasible,L5_interrupted_45min
S001,0,0,0,0,0.0,0.0,0.5712809523809523,0.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,L7->L1->L3->L8,6.462499999999999,0.6,True,L7->L4->L2->L5,12.4375,0.2,True,45.0,L7->L4->L6->L8,14.975000000000001,0.2,True,L7->L4->L2->L5,inf,0.0,False,True
S002,0,0,0,1,80.0,10.0,0.6181142857142857,0.04683333333333339,60.0,0.0,1.0,0.0,0.0,1.0,0.0,25.2,L7->L4->L6->L8,6.40625,0.6,True,L7->L4->L2->L5,12.437499999999996,0.2,True,40.2,L7->L4->L6->L8,14.975000000000001,0.2,True,L7->L4->L2->L5,inf,0.0,False,True
S003,0,0,0,2,160.0,20.0,0.6271142857142857,0.0558333333333334,60.0,0.0,1.0,0.0,0.0,1.0,0.0,25.2,L7->L4->L6->L8,6.40625,0.6,True,L7->L4->L2->L5,12.437499999999996,0.2,True,40.2,L7->L4->L6->L8,14.975000000000001,0.2,True,L7->L4->L2->L5,inf,0.0,False,True
S004,0,0,3000,0,1050.0,70.0,0.6013769312169311,0.03009597883597881,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,30.0,L7->L1->L3->L8,5.9849489795918345,0.6,True,L7->L4->L2->L5,7.66277138514981,0.2,True,45.0,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S005,0,0,3000,1,1130.0,80.0,0.6482102645502644,0.07692931216931209,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,25.2,L7->L4->L6->L8,5.928698979591836,0.6,True,L7->L4->L2->L5,7.6627713851498065,0.2,True,40.2,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S006,0,0,3000,2,1210.0,90.0,0.6572102645502644,0.0859293121693121,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,25.2,L7->L4->L6->L8,5.928698979591836,0.6,True,L7->L4->L2->L5,7.6627713851498065,0.2,True,40.2,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S007,0,0,6000,0,2100.0,140.0,0.6108055026455026,0.03952455026455026,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,30.0,L7->L1->L3->L8,5.9849489795918345,0.6,True,L7->L4->L2->L5,7.66277138514981,0.2,True,45.0,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S008,0,0,6000,1,2180.0,150.0,0.6576388359788359,0.08635788359788354,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,25.2,L7->L4->L6->L8,5.928698979591836,0.6,True,L7->L4->L2->L5,7.6627713851498065,0.2,True,40.2,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S009,0,0,6000,2,2260.0,160.0,0.6666388359788359,0.09535788359788355,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,25.2,L7->L4->L6->L8,5.928698979591836,0.6,True,L7->L4->L2->L5,7.6627713851498065,0.2,True,40.2,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S010,0,0,9000,0,3150.0,210.0,0.620234074074074,0.048953121693121715,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,30.0,L7->L1->L3->L8,5.9849489795918345,0.6,True,L7->L4->L2->L5,7.66277138514981,0.2,True,45.0,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S011,0,0,9000,1,3230.0,220.0,0.6670674074074073,0.095786455026455,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,25.2,L7->L4->L6->L8,5.928698979591836,0.6,True,L7->L4->L2->L5,7.6627713851498065,0.2,True,40.2,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S012,0,0,9000,2,3310.0,230.0,0.6760674074074073,0.104786455026455,54.0,6.0,0.9,0.09999999999999996,8.333333333333334,0.9,0.15,25.2,L7->L4->L6->L8,5.928698979591836,0.6,True,L7->L4->L2->L5,7.6627713851498065,0.2,True,40.2,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S013,0,1,0,0,1200.0,40.0,0.6130904761904762,0.04180952380952385,48.0,12.0,0.8,0.19999999999999993,8.333333333333334,0.8,0.0,30.0,L7->L1->L3->L8,6.462499999999999,0.6,True,L7->L4->L2->L5,12.4375,0.2,True,45.0,L7->L4->L6->L8,14.975000000000001,0.6,True,L7->L4->L2->L5,13.337499999999999,0.2,True,False
S014,0,1,0,1,1280.0,50.0,0.6599238095238095,0.08864285714285713,48.0,12.0,0.8,0.19999999999999993,8.333333333333334,0.8,0.0,25.2,L7->L4->L6->L8,6.40625,0.6,True,L7->L4->L2->L5,12.437499999999996,0.2,True,40.2,L7->L4->L6->L8,14.975000000000001,0.6,True,L7->L4->L2->L5,13.337499999999999,0.2,True,False
S015,0,1,0,2,1360.0,60.0,0.6689238095238096,0.09764285714285725,48.0,12.0,0.8,0.19999999999999993,8.333333333333334,0.8,0.0,25.2,L7->L4->L6->L8,6.40625,0.6,True,L7->L4->L2->L5,12.437499999999996,0.2,True,40.2,L7->L4->L6->L8,14.975000000000001,0.6,True,L7->L4->L2->L5,13.337499999999999,0.2,True,False
S016,0,1,3000,0,2250.0,110.0,0.6450383068783069,0.07375735449735454,43.2,16.799999999999997,0.7200000000000001,0.2799999999999999,8.333333333333334,0.7200000000000001,0.15,30.0,L7->L1->L3->L8,5.9849489795918345,0.6,True,L7->L4->L2->L5,7.66277138514981,0.2,True,45.0,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S017,0,1,3000,1,2330.0,120.0,0.6918716402116403,0.12059068783068794,43.2,16.799999999999997,0.7200000000000001,0.2799999999999999,8.333333333333334,0.7200000000000001,0.15,25.2,L7->L4->L6->L8,5.928698979591836,0.6,True,L7->L4->L2->L5,7.6627713851498065,0.6,True,40.2,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S018,0,1,3000,2,2410.0,130.0,0.7008716402116403,0.12959068783068795,43.2,16.799999999999997,0.7200000000000001,0.2799999999999999,8.333333333333334,0.7200000000000001,0.15,25.2,L7->L4->L6->L8,5.928698979591836,0.6,True,L7->L4->L2->L5,7.6627713851498065,0.6,True,40.2,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
S019,0,1,6000,0,3300.0,180.0,0.6544668783068783,0.083185925925926,43.2,16.799999999999997,0.7200000000000001,0.2799999999999999,8.333333333333334,0.7200000000000001,0.15,30.0,L7->L1->L3->L8,5.9849489795918345,0.6,True,L7->L4->L2->L5,7.66277138514981,0.2,True,45.0,L7->L4->L6->L8,9.000531914893621,0.6,True,L7->L4->L2->L5,10.96090425531915,0.2,True,False
