scheme_id,x1_pipe_m,x2_storage_count,x3_pavement_m2,x4_warning_count,TotalCost_wan,AnnualCost_wan_per_year,R_new,Delta_R,T_rec_min,T_rec_reduction_min,recovery_factor,avg_key_max_depth_reduction_rate,avg_interruption_duration_reduction_min,depth_factor,capacity_gain,evac_30_effective_departure_min,evac_30_dynamic_path,evac_30_dynamic_time_min,evac_30_dynamic_min_safety,evac_30_dynamic_feasible,evac_30_static_path,evac_30_static_time_min,evac_30_static_min_safety,evac_30_static_feasible,evac_45_effective_departure_min,evac_45_dynamic_path,evac_45_dynamic_time_min,evac_45_dynamic_min_safety,evac_45_dynamic_feasible,evac_45_static_path,evac_45_static_time_min,evac_45_static_min_safety,evac_45_static_feasible,L5_interrupted_45min
S001,0,0,0,0,0.0,0.0,0.5712809523809523,0.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,L7->L1->L3->L8,6.462499999999999,0.6,True,L7->L4->L2->L5,12.4375,0.2,True,45.0,L7->L4->L6->L8,14.975000000000001,0.2,True,L7->L4->L2->L5,inf,0.0,False,True
S002,0,0,0,1,80.0,10.0,0.6181142857142857,0.04683333333333339,60.0,0.0,1.0,0.0,0.0,1.0,0.0,25.2,L7->L4->L6->L8,6.40625,0.6,True,L7->L4->L2->L5,12.437499999999996,0.2,True,40.2,L7->L4->L6->L8,14.975000000000001,0.2,True,L7->L4->L2->L5,inf,0.0,False,True
S003,0,0,0,2,160.0,20.0,0.6271142857142857,0.0558333333333334,60.0,0.0,1.0,0.0,0.0,1.0,0.0,25.2,L7->L4->L6->L8,6.40625,0.6,True,L7->L4->L2->L5,12.437499999999996,0.2,True,40.2,L7->L4->L6->L8,14.975000000000001,0.2,True,L7->L4->L2->L5,inf,0.0,False,True
S037,300,0,0,0,540.0,27.0,0.6051456582633052,0.03386470588235291,51.0,9.0,0.85,0.15000000000000002,8.333333333333334,0.85,0.25,30.0,L7->L1->L3->L8,5.753409090909088,0.6,True,L7->L4->L2->L5,6.601136363636364,0.2,True,45.0,L7->L4->L6->L8,7.775000000000006,0.6,True,L7->L4->L2->L5,8.126730769230768,0.2,True,False
S038,300,0,0,1,620.0,37.0,0.6519789915966386,0.0806980392156863,51.0,9.0,0.85,0.15000000000000002,8.333333333333334,0.85,0.25,25.2,L7->L4->L6->L8,5.697159090909089,0.6,True,L7->L4->L2->L5,6.6011363636363605,0.2,True,40.2,L7->L4->L6->L8,7.775000000000006,0.6,True,L7->L4->L2->L5,8.126730769230768,0.2,True,False
S013,0,1,0,0,1200.0,40.0,0.6130904761904762,0.04180952380952385,48.0,12.0,0.8,0.19999999999999993,8.333333333333334,0.8,0.0,30.0,L7->L1->L3->L8,6.462499999999999,0.6,True,L7->L4->L2->L5,12.4375,0.2,True,45.0,L7->L4->L6->L8,14.975000000000001,0.6,True,L7->L4->L2->L5,13.337499999999999,0.2,True,False
S039,300,0,0,2,700.0,47.0,0.6609789915966386,0.08969803921568631,51.0,9.0,0.85,0.15000000000000002,8.333333333333334,0.85,0.25,25.2,L7->L4->L6->L8,5.697159090909089,0.6,True,L7->L4->L2->L5,6.6011363636363605,0.2,True,40.2,L7->L4->L6->L8,7.775000000000006,0.6,True,L7->L4->L2->L5,8.126730769230768,0.2,True,False
S014,0,1,0,1,1280.0,50.0,0.6599238095238095,0.08864285714285713,48.0,12.0,0.8,0.19999999999999993,8.333333333333334,0.8,0.0,25.2,L7->L4->L6->L8,6.40625,0.6,True,L7->L4->L2->L5,12.437499999999996,0.2,True,40.2,L7->L4->L6->L8,14.975000000000001,0.6,True,L7->L4->L2->L5,13.337499999999999,0.2,True,False
S015,0,1,0,2,1360.0,60.0,0.6689238095238096,0.09764285714285725,48.0,12.0,0.8,0.19999999999999993,8.333333333333334,0.8,0.0,25.2,L7->L4->L6->L8,6.40625,0.6,True,L7->L4->L2->L5,12.437499999999996,0.2,True,40.2,L7->L4->L6->L8,14.975000000000001,0.6,True,L7->L4->L2->L5,13.337499999999999,0.2,True,False
S049,300,1,0,0,1740.0,67.0,0.6498963585434173,0.07861540616246498,40.800000000000004,19.199999999999996,0.68,0.31999999999999995,8.333333333333334,0.68,0.25,30.0,L7->L1->L3->L8,5.753409090909088,0.6,True,L7->L4->L2->L5,6.601136363636364,0.6,True,45.0,L7->L4->L6->L8,7.775000000000006,0.6,True,L7->L4->L2->L5,8.126730769230768,0.2,True,False
S050,300,1,0,1,1820.0,77.0,0.6967296918767507,0.12544873949579838,40.800000000000004,19.199999999999996,0.68,0.31999999999999995,8.333333333333334,0.68,0.25,25.2,L7->L4->L6->L8,5.697159090909089,0.6,True,L7->L4->L2->L5,6.6011363636363605,0.6,True,40.2,L7->L4->L6->L8,7.775000000000006,0.6,True,L7->L4->L2->L5,8.126730769230768,0.2,True,False
S051,300,1,0,2,1900.0,87.0,0.7057296918767507,0.1344487394957984,40.800000000000004,19.199999999999996,0.68,0.31999999999999995,8.333333333333334,0.68,0.25,25.2,L7->L4->L6->L8,5.697159090909089,0.6,True,L7->L4->L2->L5,6.6011363636363605,0.6,True,40.2,L7->L4->L6->L8,7.775000000000006,0.6,True,L7->L4->L2->L5,8.126730769230768,0.2,True,False
S062,300,2,0,1,3020.0,117.0,0.7218725490196078,0.1505915966386555,40.800000000000004,19.199999999999996,0.68,0.31999999999999995,8.333333333333334,0.68,0.25,25.2,L7->L4->L6->L8,5.697159090909089,0.6,True,L7->L4->L2->L5,6.6011363636363605,0.6,True,40.2,L7->L4->L6->L8,7.775000000000006,0.6,True,L7->L4->L2->L5,8.126730769230768,0.2,True,False
S063,300,2,0,2,3100.0,127.0,0.7308725490196079,0.15959159663865552,40.800000000000004,19.199999999999996,0.68,0.31999999999999995,8.333333333333334,0.68,0.25,25.2,L7->L4->L6->L8,5.697159090909089,0.6,True,L7->L4->L2->L5,6.6011363636363605,0.6,True,40.2,L7->L4->L6->L8,7.775000000000006,0.6,True,L7->L4->L2->L5,8.126730769230768,0.2,True,False
S052,300,1,3000,0,2790.0,137.0,0.6834781761593526,0.11219722377840025,36.720000000000006,23.279999999999994,0.6120000000000001,0.3879999999999999,8.333333333333334,0.6120000000000001,0.4,30.0,L7->L1->L3->L8,5.487499999999997,0.6,True,L7->L4->L2->L5,5.733152173913048,0.6,True,45.0,L7->L4->L2->L5,6.37880434782609,0.6,True,L7->L4->L2->L5,6.37880434782609,0.6,True,False
S053,300,1,3000,1,2870.0,147.0,0.7303115094926859,0.15903055711173353,36.720000000000006,23.279999999999994,0.6120000000000001,0.3879999999999999,8.333333333333334,0.6120000000000001,0.4,25.2,L7->L4->L6->L8,5.431249999999999,0.6,True,L7->L4->L2->L5,5.733152173913041,0.6,True,40.2,L7->L4->L2->L5,6.37880434782609,0.6,True,L7->L4->L2->L5,6.37880434782609,0.6,True,False
S054,300,1,3000,2,2950.0,157.0,0.7393115094926859,0.16803055711173354,36.720000000000006,23.279999999999994,0.6120000000000001,0.3879999999999999,8.333333333333334,0.6120000000000001,0.4,25.2,L7->L4->L6->L8,5.431249999999999,0.6,True,L7->L4->L2->L5,5.733152173913041,0.6,True,40.2,L7->L4->L2->L5,6.37880434782609,0.6,True,L7->L4->L2->L5,6.37880434782609,0.6,True,False
S065,300,2,3000,1,4070.0,187.0,0.755454366635543,0.18417341425459066,36.720000000000006,23.279999999999994,0.6120000000000001,0.3879999999999999,8.333333333333334,0.6120000000000001,0.4,25.2,L7->L4->L6->L8,5.431249999999999,0.6,True,L7->L4->L2->L5,5.733152173913041,0.6,True,40.2,L7->L4->L2->L5,6.37880434782609,0.6,True,L7->L4->L2->L5,6.37880434782609,0.6,True,False
